id,category,expected,question,max_score,count_good,top1_title,top1_score,top2_title,top2_score,top3_title,top3_score
ar01,direct,strong,ما علامات رفع الفاعل في الصف الخامس الابتدائي؟,2.283,10,عامل الفاعل,2.283,ملخص الفاعل,2.283,ما ينوب عن الفاعل بعد حذفه,2.217
ar02,direct,strong,تعريف المبتدأ والخبر,5.267,10,ملخص المبتدأ والخبر في صفحة واحدة,5.267,تَدْرِيبٌ عَلَى المبحث الثالث المبتدأ والخبر,5.067,مواضع حذف المبتدأ وجوبا,2.7
ar03,direct,strong,أنواع الخبر في الجملة الاسمية,4.9,10,أنواع أي الاسمية والحرفية,4.9,ملخص الْخَبَرِ وأنواعه,3.875,تقديم الخبر على المبتدأ,3.425
ar04,direct,strong,إعراب المفعول به وعلامات نصبه,5.04,10,صور المفعول به,5.04,الْمَفْعُولُ بِهِ,4.8,ملخص المفعول به,4.76
ar05,semi_direct,medium,كيف نميز الفاعل من نائب الفاعل؟,8.075,10,ملخص نائب الفاعل,8.075,المبحث الثاني نَائِبُ الْفَاعِلُ,8.075,تَدْرِيبٌ عَلَى نَائِبِ الْفَاعِلِ,7.675
ar06,semi_direct,medium,ما الفرق بين الجملة الاسمية والجملة الفعلية؟,2.34,10,الفرق بين أمس الأمس,2.34,الفرق بين المنادى المضاف والشبيه بالمضاف,2.3,الفرق بين لا الناهية ولا النافية,2.3
ar07,semi_direct,medium,متى تكون علامة رفع المبتدأ الواو؟,1.45,10,المبتدأ الذي لا يحتاج إلى خبر يكتفي بمرفوعه,1.45,كيف تتقن النحو؟,1.133,ملخص إعراب أدوات الاستفهام,0.933
ar08,preparatory,medium,حضر لي درس الفاعل للصف الخامس الابتدائي,1.9,4,ملخص الفاعل,1.9,تدريب على الفصل الخامس من الحديث الشريف والقرآن,1.814,مطابقة النعت للمنعوت,0.514
ar09,preparatory,medium,كيف أشرح المفعول به للصف الخامس بأمثلة؟,4.0,10,الْمَفْعُولُ بِهِ,4.0,ملخص المفعول به,3.967,صور المفعول به,3.933
ar10,vague,weak,أفضل طريقة لشرح النحو,2.425,10,كيف تتقن النحو؟,2.425,كيف تتقن النحو؟,2.325,كيف تتقن النحو؟,2.275
ar11,vague,weak,أخطاء شائعة في الإعراب عند التلاميذ,1.62,2,الجمل التي لا محل لها من الإعراب,1.62,أخطاء شائعة,1.0,سلاح التلميذ في اللغة العربية — الجزء 6 (صفحات 201-240),0.48
ar12,out_of_scope,weak,ما هو الانشطار النووي؟,0.8,1,الأضواء — عربي مراجعة أول ثانوي 2027 — الجزء 4,0.8,تَدْرِيبٌ عَلَى المَوْضِعِ الثَّانِي وَالثَّالِثِ وَالرَّابِعِ وَالخَامِسِ وَالس,0.5,كيف تتقن الصرف؟,0.5
